id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_100002,DOMU,HIUP,2025/5/29 9:40,2025/5/29 11:40,7M8,Aft_10001,110
Flt_100003,AAHN,NLLA,2025/5/29 9:45,2025/5/29 12:40,738,Aft_10002,164
Flt_100004,HZPW,VOXP,2025/6/1 13:05,2025/6/1 14:30,738,Aft_10003,86
Flt_100005,VOXP,XCHB,2025/5/29 17:15,2025/5/29 18:50,738,Aft_10004,97
Flt_100006,HZPW,NLLA,2025/5/29 10:00,2025/5/29 12:40,738,Aft_10005,165
Flt_100007,ZJCG,LFOL,2025/5/29 16:50,2025/5/29 18:20,737GY,Aft_10006,85
Flt_100008,FVJZ,HZPW,2025/5/29 11:30,2025/5/29 14:05,738,Aft_10007,149
Flt_100009,OXSQ,OKJK,2025/5/29 7:40,2025/5/29 9:50,738,Aft_10008,122
Flt_100010,AAHN,PNNF,2025/5/29 11:15,2025/5/29 12:50,738,Aft_10009,99
Flt_100011,PNNF,AAHN,2025/5/29 14:10,2025/5/29 15:45,738,Aft_10009,79
Flt_100012,KKME,HZPW,2025/5/29 18:30,2025/5/29 21:05,738,Aft_10007,133
Flt_100013,FVJZ,KDAX,2025/6/1 16:50,2025/6/1 18:05,738,Aft_10010,55
Flt_100014,XLHA,DOMU,2025/6/1 20:15,2025/6/1 23:05,7M8,Aft_10011,140
Flt_100015,HIUP,OETZ,2025/6/1 16:50,2025/6/1 19:00,738,Aft_10012,116
Flt_100016,EYWR,OETZ,2025/6/1 7:50,2025/6/1 10:10,738,Aft_10013,139
Flt_100017,BBZB,OXSQ,2025/6/1 10:50,2025/6/1 13:35,738,Aft_10014,156
Flt_100018,PZYH,HEJY,2025/5/29 14:35,2025/5/29 17:10,738,Aft_10015,158
Flt_100019,HZPW,MPYS,2025/5/29 8:10,2025/5/29 10:40,738,Aft_10016,162
Flt_100020,VDBQ,HZPW,2025/5/29 12:50,2025/5/29 16:20,738,Aft_10017,192
Flt_100021,ZJCG,DSQK,2025/6/1 18:20,2025/6/1 19:50,738,Aft_10018,82
Flt_100022,DSQK,AAHN,2025/6/1 21:00,2025/6/1 22:40,738,Aft_10018,94
Flt_100023,KKME,VWIM,2025/6/1 8:35,2025/6/1 10:45,738,Aft_10019,114
Flt_100024,EYWR,VWIM,2025/6/1 10:40,2025/6/1 13:15,738,Aft_10020,137
Flt_100025,MCVK,HZPW,2025/6/1 17:00,2025/6/1 21:45,738,Aft_10021,273
Flt_100026,MCWT,OXSQ,2025/6/1 15:50,2025/6/1 20:30,738,Aft_10022,257
Flt_100027,HZPW,HIUP,2025/6/1 11:55,2025/6/1 13:50,738,Aft_10023,110
Flt_100028,ISKH,HIUP,2025/5/29 12:25,2025/5/29 13:45,738,Aft_10024,78
Flt_100029,MCVK,DOMU,2025/5/29 14:40,2025/5/29 18:55,738,Aft_10025,260
Flt_100030,EYWR,VWIM,2025/5/29 19:15,2025/5/29 21:30,738,Aft_10026,137
Flt_100031,AAHN,AFPF,2025/5/29 7:10,2025/5/29 8:45,738,Aft_10027,89
Flt_100032,XLOC,HZPW,2025/5/29 17:30,2025/5/29 19:30,738,Aft_10028,114
Flt_100033,PZYH,KKME,2025/6/1 20:15,2025/6/1 22:55,738,Aft_10029,158
Flt_100034,EYWR,HIUP,2025/5/29 7:20,2025/5/29 9:00,738,Aft_10030,103
Flt_100035,EYWR,NLLA,2025/5/29 18:40,2025/5/29 20:45,738,Aft_10030,133
Flt_100036,EYWR,VGVC,2025/5/29 9:10,2025/5/29 11:35,738,Aft_10031,170
Flt_100037,OETZ,DOMU,2025/6/1 7:05,2025/6/1 9:45,738,Aft_10032,166
Flt_100038,DOMU,YITW,2025/6/1 10:45,2025/6/1 14:00,738,Aft_10032,180
Flt_100039,KKME,OETZ,2025/5/30 19:30,2025/5/30 22:20,738,Aft_10033,145
Flt_100040,DOMU,KDAP,2025/5/30 14:10,2025/5/30 17:40,738,Aft_10034,214
Flt_100041,NLLA,YAFY,2025/5/30 17:30,2025/5/30 19:40,738,Aft_10035,123
Flt_100042,SFRI,XCHB,2025/5/30 10:20,2025/5/30 12:30,738,Aft_10014,114
Flt_100043,XCHB,SFRI,2025/5/30 13:30,2025/5/30 15:30,738,Aft_10014,118
Flt_100044,FPCR,DOMU,2025/5/30 12:30,2025/5/30 15:20,738,Aft_10036,193
Flt_100045,OXSQ,DOMU,2025/5/30 13:15,2025/5/30 14:50,738,Aft_10037,90
Flt_100046,HIUP,KKME,2025/5/30 21:35,2025/5/30 23:20,738,Aft_10038,102
Flt_100047,AAHN,KKME,2025/5/30 11:50,2025/5/30 14:20,738,Aft_10021,169
Flt_100048,DOMU,GLHV,2025/5/30 9:00,2025/5/30 11:00,738,Aft_10039,92
Flt_100049,FXWC,DOMU,2025/5/30 21:00,2025/5/30 23:30,738,Aft_10040,141
Flt_100050,HZPW,VHLB,2025/5/30 9:15,2025/5/30 12:00,738,Aft_10041,174
Flt_100051,EYWR,SJQD,2025/5/30 9:40,2025/5/30 11:45,738,Aft_10042,112
Flt_100052,SFRI,DOMU,2025/5/30 22:00,2025/5/31 0:30,738,Aft_10043,138
Flt_100053,XLOC,HZPW,2025/5/30 17:30,2025/5/30 19:35,737GY,Aft_10044,114
Flt_100054,FVJZ,KDAX,2025/5/30 16:50,2025/5/30 18:05,738,Aft_10045,55
Flt_100055,DOMU,MCVK,2025/5/30 19:35,2025/5/30 23:50,738,Aft_10046,270
Flt_100056,OXSQ,HZPW,2025/5/30 16:20,2025/5/30 18:15,738,Aft_10047,84
Flt_100057,DOMU,KKME,2025/5/30 14:15,2025/5/30 16:50,738,Aft_10048,172
Flt_100058,HEJY,BBZB,2025/5/30 15:25,2025/5/30 18:15,738,Aft_10049,128
Flt_100059,MPYS,HZPW,2025/5/31 20:00,2025/5/31 22:30,7M8,Aft_10050,149
Flt_100060,FVJZ,HZPW,2025/5/31 11:30,2025/5/31 14:05,738,Aft_10051,149
Flt_100061,HUYM,WKDC,2025/5/31 10:20,2025/5/31 12:20,738,Aft_10052,110
Flt_100062,GLHV,AAHN,2025/5/31 10:55,2025/5/31 12:45,738,Aft_10053,102
Flt_100063,QGSX,OXSQ,2025/5/31 12:35,2025/5/31 14:30,738,Aft_10054,101
Flt_100064,DOMU,NVMB,2025/5/31 12:25,2025/5/31 14:00,738,Aft_10055,85
Flt_100065,SFRI,DOMU,2025/5/31 18:00,2025/5/31 20:25,738,Aft_10008,138
Flt_100066,EYWR,PNNF,2025/5/31 9:05,2025/5/31 11:20,738,Aft_10056,144
Flt_100067,EYWR,UXVH,2025/5/31 7:00,2025/5/31 10:05,738,Aft_10057,181
Flt_100068,NLLA,LLZL,2025/5/31 10:00,2025/5/31 11:55,738,Aft_10058,118
Flt_100069,WJBA,KKME,2025/5/29 18:10,2025/5/29 20:10,738,Aft_10021,112
Flt_100070,HZPW,VUWJ,2025/6/1 18:45,2025/6/1 20:50,738,Aft_10036,140
Flt_100071,HZPW,OETZ,2025/6/1 7:20,2025/6/1 9:55,738,Aft_10059,161
Flt_100072,KKME,EYWR,2025/6/1 22:05,2025/6/2 0:05,738,Aft_10060,126
Flt_100073,DOMU,FVJZ,2025/6/1 10:00,2025/6/1 12:50,7M8,Aft_10001,187
Flt_100074,HUYM,WKDC,2025/5/29 10:20,2025/5/29 12:20,738,Aft_10037,110
Flt_100075,OKJK,OXSQ,2025/5/29 18:05,2025/5/29 20:30,738,Aft_10008,135
Flt_100076,HEJY,DOMU,2025/5/29 7:40,2025/5/29 11:50,738,Aft_10054,254
Flt_100077,HEXD,DOMU,2025/6/1 17:55,2025/6/1 21:25,738,Aft_10061,231
Flt_100078,HZPW,NBCQ,2025/6/1 13:30,2025/6/1 15:10,738,Aft_10036,107
Flt_100079,NLLA,QGSX,2025/5/29 7:40,2025/5/29 10:45,738,Aft_10062,178
