crewId,taskId,isDDH
Crew_11709,ddh_101086,1
Crew_11709,Flt_110779,0
Crew_11709,Flt_111137,0
Crew_11709,Flt_112656,0
Crew_11709,Flt_110857,0
Crew_11709,Flt_113330,0
Crew_11709,ddh_102120,1
Crew_12243,Flt_111898,0
Crew_12243,Flt_112263,0
Crew_11344,Flt_112599,1
Crew_11344,ddh_100008,1
Crew_11344,Flt_113369,0
Crew_11344,Flt_111585,0
Crew_11344,Flt_113004,0
Crew_11344,Flt_112296,0
Crew_12148,Flt_112599,1
Crew_12148,ddh_100008,1
Crew_12148,Flt_112258,0
Crew_12148,Flt_113013,0
Crew_12148,Flt_112290,0
Crew_11562,ddh_101073,1
Crew_11340,ddh_100957,1
Crew_11340,ddh_100245,1
Crew_11340,Flt_111123,0
Crew_11340,Flt_110789,0
Crew_11340,ddh_101700,1
Crew_11340,Flt_113733,0
Crew_11002,Flt_112610,0
Crew_11002,Flt_113046,0
Crew_10724,ddh_100335,1
Crew_10724,Flt_111146,0
Crew_10724,Flt_112959,0
Crew_10724,ddh_100210,1
Crew_10724,Flt_110833,0
Crew_10724,Flt_113011,0
Crew_10724,Flt_113705,0
Crew_10724,ddh_101673,1
Crew_12486,Flt_111919,0
Crew_12486,Flt_112280,0
Crew_10207,Flt_112599,1
Crew_10207,Flt_113287,0
Crew_10207,ddh_100349,1
Crew_10207,Flt_110860,0
Crew_10725,Flt_113734,1
Crew_10725,Flt_112620,0
Crew_10725,Flt_113331,0
Crew_10725,Flt_110830,0
Crew_12393,ddh_100957,1
Crew_12393,ddh_100245,1
Crew_12393,Flt_111818,0
Crew_12393,Flt_113727,0
Crew_12393,Flt_111900,0
Crew_12393,Flt_113709,1
Crew_12393,ddh_101430,1
Crew_10157,ddh_101086,1
Crew_10157,Flt_113634,1
Crew_10157,Flt_110890,1
Crew_10157,Flt_113670,0
Crew_10157,ddh_101732,1
Crew_10157,Flt_112279,0
Crew_12496,Flt_111188,1
Crew_12496,Flt_110858,0
Crew_12496,Flt_113359,0
Crew_12496,ddh_101833,1
Crew_10866,ddh_101086,1
Crew_10866,ddh_100673,1
Crew_10866,Flt_111820,0
Crew_10866,Flt_111545,0
Crew_10866,Flt_111925,0
Crew_10866,Flt_112319,0
Crew_10866,Flt_113358,0
Crew_11048,ddh_101094,1
Crew_11048,Flt_113009,0
Crew_11048,Flt_113010,0
Crew_11048,Flt_112264,0
Crew_11048,Flt_111148,0
Crew_11048,Flt_110874,0
Crew_11048,ddh_100359,1
Crew_12144,Flt_112599,1
Crew_12144,ddh_100028,1
Crew_12144,Flt_111173,0
Crew_12144,Flt_112621,0
Crew_12144,Flt_112609,0
Crew_10156,ddh_101715,1
Crew_10156,Flt_111208,0
Crew_10156,Flt_111931,0
Crew_10524,ddh_101086,1
Crew_10524,Flt_113634,0
Crew_10524,Flt_112935,0
Crew_10524,Flt_112248,0
Crew_10524,Flt_113693,0
Crew_10524,Flt_112287,0
Crew_12509,Flt_110841,0
Crew_12509,Flt_111909,0
Crew_12509,Flt_112320,0
Crew_12509,Flt_112310,0
Crew_12509,ddh_100625,1
Crew_10803,ddh_101225,1
Crew_10803,Flt_113264,0
Crew_10803,Flt_112647,0
Crew_10803,ddh_100048,1
Crew_10803,Flt_112678,0
Crew_10803,Flt_110876,0
Crew_10803,ddh_100625,1
Crew_11369,ddh_101086,1
Crew_11369,Flt_112573,0
Crew_11369,Flt_111571,0
Crew_11369,Flt_111564,0
Crew_11369,Flt_113335,0
Crew_11369,Flt_110838,0
Crew_11369,ddh_101179,1
Crew_10500,ddh_100691,1
Crew_10500,Flt_111829,0
Crew_10500,Flt_110881,0
Crew_10500,Flt_110882,0
Crew_10500,Flt_111568,0
Crew_10500,Flt_113663,0
Crew_10500,Flt_112659,0
Crew_10500,ddh_100633,1
Crew_11995,ddh_101225,1
Crew_11995,Flt_112601,0
Crew_11995,Flt_112221,0
Crew_11995,Flt_112245,0
Crew_11995,Flt_112273,0
Crew_11995,Flt_112638,0
Crew_10255,ddh_100957,1
Crew_10255,ddh_100245,1
Crew_10255,Flt_111123,1
Crew_10255,Flt_111124,0
Crew_10255,ddh_101551,1
Crew_10255,Flt_113042,0
Crew_12013,ddh_101715,1
Crew_12013,Flt_111578,0
Crew_12013,Flt_111192,0
Crew_12013,Flt_113050,0
Crew_12013,Flt_111499,0
Crew_12013,ddh_102120,1
Crew_12359,ddh_101087,1
Crew_12359,Flt_113281,0
Crew_12359,Flt_112654,0
Crew_12359,Flt_113025,0
Crew_12359,Flt_112626,0
Crew_12359,Flt_112611,0
Crew_10702,ddh_100957,1
Crew_10702,ddh_100245,1
Crew_10702,Flt_113619,1
Crew_10702,Flt_113268,0
Crew_10702,Flt_111845,0
Crew_10702,Flt_111529,1
Crew_10702,Flt_112260,0
Crew_11473,ddh_100957,1
Crew_11473,ddh_100245,1
Crew_11473,Flt_113619,0
Crew_11473,Flt_112201,0
Crew_11473,Flt_110890,0
Crew_11473,Flt_113355,0
Crew_11473,Flt_111223,1
Crew_10726,ddh_102094,1
Crew_10726,ddh_100335,1
Crew_10726,Flt_112309,0
Crew_10726,Flt_112647,1
Crew_10726,Flt_113751,0
Crew_10726,Flt_112315,0
Crew_10726,ddh_100009,1
Crew_10726,Flt_110846,0
Crew_10726,Flt_111548,0
Crew_10726,ddh_100633,1
Crew_11694,ddh_101086,1
Crew_11694,Flt_111470,0
Crew_11694,Flt_112934,0
Crew_11694,Flt_113728,0
Crew_11694,Flt_111565,0
Crew_11694,Flt_113732,0
Crew_11694,Flt_113352,0
Crew_11694,Flt_112611,1
Crew_12481,ddh_100691,1
Crew_12481,Flt_111829,1
Crew_12481,Flt_111122,0
Crew_12481,Flt_110863,0
