crewId,taskId,isDDH
Crew_11491,Flt_107561,0
Crew_11491,Flt_107193,0
Crew_11491,Flt_106903,0
Crew_11491,Flt_107630,0
Crew_11491,Flt_109413,0
Crew_11491,Flt_107679,0
Crew_11491,Flt_107950,0
Crew_12448,ddh_100076,1
Crew_12448,Flt_107220,0
Crew_12448,Flt_106842,0
Crew_12448,Flt_108009,0
Crew_12448,Flt_106572,0
Crew_12448,Flt_107944,0
Crew_12448,Flt_108291,0
Crew_12448,ddh_100010,1
Crew_10631,ddh_100106,1
Crew_10631,ddh_100981,1
Crew_10631,Flt_106858,0
Crew_10631,Flt_108686,0
Crew_10631,Flt_106955,0
Crew_10631,ddh_100010,1
Crew_10754,Flt_107925,0
Crew_10754,Flt_107307,0
Crew_10754,Flt_109382,0
Crew_10754,Flt_109439,0
Crew_10754,ddh_100420,1
Crew_10614,ddh_102230,1
Crew_10614,ddh_100269,1
Crew_10614,Flt_108998,0
Crew_10614,Flt_107917,0
Crew_10614,ddh_101484,1
Crew_10614,Flt_108002,0
Crew_10614,Flt_107650,0
Crew_10614,ddh_100426,1
Crew_10614,ddh_101679,1
Crew_12557,ddh_102230,1
Crew_12557,ddh_100269,1
Crew_12557,Flt_106831,0
Crew_12557,Flt_108980,0
Crew_12557,Flt_106902,0
Crew_12557,Flt_107681,0
Crew_12042,ddh_100106,1
Crew_12042,Flt_109333,1
Crew_12042,Flt_108260,0
Crew_12042,ddh_100057,1
Crew_12042,Flt_107648,0
Crew_12042,ddh_101543,1
Crew_12042,Flt_106575,0
Crew_11786,Flt_107555,0
Crew_11786,Flt_107902,0
Crew_11786,Flt_109393,0
Crew_11786,Flt_109394,0
Crew_11786,Flt_108376,0
Crew_11786,ddh_100420,1
Crew_11815,Flt_107295,0
Crew_11815,Flt_108992,0
Crew_11815,Flt_109433,0
Crew_11815,Flt_106930,0
Crew_11815,Flt_109395,0
Crew_11815,Flt_107615,0
Crew_10224,ddh_100106,1
Crew_10224,Flt_106855,0
Crew_10224,Flt_107297,0
Crew_10224,Flt_107298,0
Crew_10224,Flt_108699,0
Crew_10224,Flt_108019,0
Crew_10224,Flt_106596,0
Crew_10224,Flt_106918,0
Crew_11860,ddh_100106,1
Crew_11860,Flt_107898,0
Crew_11860,Flt_106857,1
Crew_11860,Flt_109040,0
Crew_11860,Flt_106926,0
Crew_11860,ddh_100159,1
Crew_11860,Flt_108387,0
Crew_11988,ddh_100106,1
Crew_11988,Flt_107228,0
Crew_11988,Flt_108645,0
Crew_11988,Flt_106570,0
Crew_11988,Flt_109430,0
Crew_11988,ddh_100118,1
Crew_11988,Flt_106565,0
Crew_11988,Flt_107641,0
Crew_11988,Flt_107668,0
Crew_10968,ddh_100105,1
Crew_10968,ddh_100076,1
Crew_10968,Flt_107928,0
Crew_10968,Flt_109341,0
Crew_10968,ddh_100057,1
Crew_10968,Flt_106909,0
Crew_10968,Flt_108346,0
Crew_10968,Flt_108689,0
Crew_10968,Flt_109438,1
Crew_11525,Flt_108987,0
Crew_11525,Flt_109057,0
Crew_11525,Flt_107991,0
Crew_11525,ddh_102262,1
Crew_11525,Flt_107235,0
Crew_11454,ddh_100670,1
Crew_12188,ddh_100107,1
Crew_12188,Flt_108964,0
Crew_12188,Flt_107195,0
Crew_12188,Flt_107259,0
Crew_12188,Flt_108701,0
Crew_12188,Flt_109437,0
Crew_12188,Flt_108000,0
Crew_12188,Flt_106942,1
Crew_11365,ddh_100126,1
Crew_11365,Flt_107544,0
Crew_11365,Flt_108971,0
Crew_11370,Flt_107229,0
Crew_11370,Flt_107553,0
Crew_11370,Flt_106872,0
Crew_11370,Flt_109428,0
Crew_11370,Flt_107997,0
Crew_11370,Flt_107283,0
Crew_11950,ddh_100106,1
Crew_11950,Flt_106855,1
Crew_11950,Flt_109060,0
Crew_11950,Flt_108352,0
Crew_11950,Flt_106578,1
Crew_11950,Flt_106585,0
Crew_11950,Flt_106577,0
Crew_11950,ddh_100010,1
