crewId,taskId,isDDH
Crew_12365,ddh_101652,1
Crew_12365,Flt_100084,0
Crew_12365,ddh_101780,1
Crew_12365,Flt_100173,0
Crew_12365,ddh_100716,1
Crew_12365,ddh_100184,1
Crew_10879,ddh_101652,1
Crew_10879,Flt_100036,0
Crew_10879,Flt_100129,0
Crew_10879,ddh_100146,1
Crew_10879,ddh_100751,1
Crew_10263,ddh_101472,1
Crew_10263,Flt_100218,0
Crew_10263,Flt_100145,0
Crew_10263,Flt_100124,0
Crew_10263,Flt_100197,0
Crew_10263,ddh_100105,1
Crew_10263,Flt_100211,0
Crew_12021,ddh_101472,1
Crew_12021,Flt_100019,0
Crew_12021,Flt_100156,0
Crew_12021,ddh_101123,1
Crew_11090,ddh_101943,1
Crew_11090,Flt_100165,0
Crew_11090,ddh_102063,1
Crew_12081,ddh_101461,1
Crew_12081,Flt_100157,0
Crew_12081,Flt_100158,0
Crew_12081,Flt_100048,0
Crew_12081,Flt_100062,0
Crew_12081,Flt_100212,0
Crew_11480,Flt_100081,0
Crew_11480,ddh_101000,1
Crew_11480,Flt_100122,0
Crew_11480,ddh_100096,1
Crew_11480,Flt_100221,0
Crew_11480,Flt_100077,0
Crew_11480,ddh_100751,1
Crew_10611,ddh_100325,1
Crew_10611,Flt_100009,0
Crew_10611,Flt_100075,1
Crew_10611,Flt_100045,0
Crew_10611,ddh_100065,1
Crew_10611,Flt_100128,0
Crew_10611,ddh_101008,1
Crew_10611,ddh_101086,1
Crew_12146,ddh_101461,1
Crew_12146,Flt_100002,1
Crew_12146,Flt_100114,0
Crew_12146,Flt_100035,0
Crew_10824,Flt_100116,0
Crew_10824,Flt_100137,0
Crew_10824,Flt_100024,0
Crew_10824,ddh_102101,1
Crew_11712,ddh_100063,1
Crew_11712,Flt_100010,0
Crew_11712,Flt_100011,0
Crew_11712,Flt_100047,0
Crew_11712,Flt_100039,0
Crew_11712,Flt_100037,0
Crew_11712,Flt_100232,0
Crew_11712,Flt_100090,0
Crew_11712,ddh_100751,1
Crew_12405,Flt_100214,0
Crew_12405,ddh_100136,1
Crew_12405,ddh_100751,1
Crew_11543,ddh_100221,1
Crew_11543,Flt_100192,0
Crew_11543,Flt_100100,0
Crew_11543,ddh_101284,1
Crew_10926,Flt_100160,0
Crew_10926,ddh_100293,1
Crew_10926,Flt_100067,0
Crew_10926,ddh_100188,1
Crew_10926,Flt_100038,0
Crew_10926,ddh_101098,1
Crew_11432,Flt_100215,0
Crew_11432,Flt_100004,0
Crew_11432,ddh_100266,1
Crew_11432,ddh_100751,1
Crew_11036,ddh_101539,1
Crew_11036,Flt_100102,0
Crew_11036,Flt_100185,0
Crew_11036,ddh_102075,1
Crew_11744,ddh_101136,1
Crew_11744,ddh_100483,1
Crew_11744,Flt_100163,0
Crew_11744,Flt_100164,0
Crew_11744,Flt_100183,0
Crew_11744,ddh_100957,1
Crew_10421,ddh_101195,1
Crew_10915,ddh_101472,1
Crew_10915,Flt_100006,0
Crew_10915,ddh_101744,1
Crew_10915,Flt_100175,0
Crew_10915,Flt_100210,0
Crew_10915,ddh_102250,1
Crew_10915,ddh_100751,1
Crew_10908,ddh_101652,1
Crew_10908,Flt_100034,0
Crew_10908,Flt_100219,0
Crew_10908,Flt_100140,0
Crew_10908,ddh_101086,1
Crew_11665,ddh_101539,1
Crew_11665,Flt_100147,0
Crew_11665,Flt_100058,0
Crew_11665,Flt_100133,0
Crew_11665,Flt_100202,1
Crew_11665,ddh_102250,1
Crew_11665,ddh_100751,1
Crew_10452,Flt_100079,1
Crew_10452,Flt_100194,0
Crew_10452,Flt_100046,0
Crew_10452,Flt_100023,0
Crew_10452,ddh_102101,1
Crew_11781,ddh_101044,1
Crew_11781,Flt_100150,0
Crew_11781,Flt_100056,0
Crew_11781,ddh_100134,1
Crew_11781,Flt_100223,0
Crew_11781,ddh_101894,1
Crew_10858,ddh_100182,1
Crew_10858,Flt_100120,0
Crew_10858,Flt_100178,0
Crew_10858,Flt_100066,0
Crew_10858,ddh_101008,1
Crew_10858,ddh_100251,1
Crew_10858,Flt_100105,0
Crew_10858,ddh_102063,1
Crew_12440,Flt_100079,0
Crew_12440,Flt_100063,0
Crew_12440,Flt_100202,0
Crew_12440,ddh_102250,1
Crew_12440,ddh_100751,1
Crew_12133,ddh_101101,1
Crew_12133,Flt_100169,0
Crew_12133,Flt_100180,0
Crew_12133,ddh_102230,1
Crew_10581,Flt_100092,0
Crew_10581,Flt_100093,0
Crew_10581,ddh_100221,1
Crew_10581,Flt_100055,0
Crew_10581,Flt_100025,0
Crew_10581,ddh_102203,1
Crew_11351,ddh_101136,1
Crew_11351,ddh_101761,1
Crew_11351,Flt_100089,0
Crew_11351,Flt_100030,0
Crew_11351,ddh_102075,1
Crew_10602,ddh_101136,1
Crew_10602,ddh_100908,1
Crew_10602,Flt_100159,0
Crew_10602,Flt_100216,0
Crew_10602,Flt_100037,1
Crew_10602,ddh_100751,1
Crew_12194,ddh_101966,1
Crew_12194,Flt_100012,0
Crew_12194,ddh_100094,1
Crew_12194,Flt_100057,0
Crew_12194,Flt_100190,0
Crew_12194,ddh_102092,1
Crew_11074,Flt_100142,0
Crew_11074,Flt_100027,0
Crew_11074,Flt_100148,0
Crew_11074,ddh_102203,1
Crew_11043,Flt_100003,0
Crew_11043,Flt_100136,0
Crew_11043,Flt_100078,0
Crew_11043,Flt_100222,0
Crew_11043,ddh_100136,1
Crew_11043,ddh_100751,1
