crewId,taskId,isDDH
Crew_10834,Flt_110744,1
Crew_10834,Flt_110372,0
Crew_10834,ddh_101612,1
Crew_10834,Flt_109455,0
Crew_10834,Flt_109754,0
Crew_10834,ddh_101994,1
Crew_10237,Flt_110064,0
Crew_10237,ddh_100351,1
Crew_10296,ddh_101380,1
Crew_10828,Flt_110744,1
Crew_10828,Flt_110114,0
Crew_10828,Flt_110083,0
Crew_10828,ddh_101427,1
Crew_10756,Flt_110744,0
Crew_10756,ddh_100117,1
Crew_10756,ddh_101672,1
Crew_10756,Flt_109759,0
Crew_10756,Flt_109464,0
Crew_10756,ddh_100350,1
Crew_10756,ddh_100351,1
Crew_10613,Flt_110375,1
Crew_10613,Flt_110754,0
Crew_10613,Flt_110414,0
Crew_10613,ddh_101357,1
Crew_10613,ddh_100029,1
Crew_10613,Flt_110088,0
Crew_11056,Flt_110744,1
Crew_11056,Flt_109731,0
Crew_12258,Flt_110744,1
Crew_12258,Flt_110080,0
Crew_10881,Flt_110375,0
Crew_10881,ddh_102060,1
Crew_10881,Flt_109758,0
Crew_10881,Flt_109454,0
Crew_10881,ddh_101994,1
Crew_11054,Flt_110744,1
Crew_11054,Flt_110743,0
Crew_11054,Flt_110069,0
Crew_11054,ddh_101233,1
Crew_11054,ddh_100351,1
Crew_12058,ddh_102250,1
Crew_12058,Flt_110384,0
Crew_12058,Flt_110762,0
Crew_12058,ddh_100068,1
Crew_12058,Flt_110443,0
Crew_12058,Flt_109759,1
Crew_12058,ddh_100009,1
Crew_12058,Flt_110454,0
Crew_10084,Flt_110455,1
Crew_10084,Flt_110099,0
Crew_10084,Flt_110101,0
Crew_10084,ddh_101994,1
Crew_11518,Flt_110744,1
Crew_11518,Flt_110756,0
Crew_11518,Flt_110413,0
Crew_11518,ddh_100851,1
Crew_11518,Flt_110109,0
Crew_11518,Flt_110110,0
Crew_10718,Flt_110739,0
Crew_10718,Flt_110740,0
Crew_10718,Flt_110756,1
Crew_10718,Flt_109465,0
Crew_10718,Flt_110090,0
Crew_10718,Flt_109782,1
Crew_12456,Flt_110744,1
Crew_12456,ddh_102000,1
Crew_12456,Flt_110431,0
Crew_12456,ddh_100109,1
Crew_12456,Flt_110095,0
Crew_10742,Flt_110463,0
Crew_10742,Flt_109779,0
Crew_10742,Flt_110455,1
Crew_10742,Flt_110490,0
Crew_10742,ddh_100541,1
Crew_10742,ddh_100351,1
Crew_12482,Flt_110455,1
Crew_12482,Flt_110468,0
Crew_12482,Flt_109454,1
Crew_12482,ddh_101994,1
Crew_11031,Flt_110455,0
Crew_11031,Flt_110105,0
Crew_11031,Flt_110106,0
Crew_11031,ddh_100089,1
Crew_11031,ddh_101427,1
